year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
1987,NL,SFN,SFG,W,1,162,90,72,Y,,N,N,783,669,San Francisco Giants,1917168,7290000
1988,NL,SFN,SFG,W,4,162,83,79,N,,N,N,670,626,San Francisco Giants,1785297,12380000
1989,NL,SFN,SFG,W,1,162,92,70,Y,,Y,N,699,600,San Francisco Giants,2059701,14962834
1990,NL,SFN,SFG,W,3,162,85,77,N,,N,N,719,710,San Francisco Giants,1975528,19335333
1991,NL,SFN,SFG,W,4,162,75,87,N,,N,N,649,697,San Francisco Giants,1737478,30967666
1992,NL,SFN,SFG,W,5,162,72,90,N,,N,N,574,647,San Francisco Giants,1560998,33163168
1993,NL,SFN,SFG,W,2,162,103,59,N,,N,N,808,636,San Francisco Giants,2606354,35050000
1994,NL,SFN,SFG,W,2,115,55,60,,,,,504,500,San Francisco Giants,1704608,42638666
1995,NL,SFN,SFG,W,4,144,67,77,N,N,N,N,652,776,San Francisco Giants,1241500,36462777
1996,NL,SFN,SFG,W,4,162,68,94,N,N,N,N,752,862,San Francisco Giants,1413922,37144725
1997,NL,SFN,SFG,W,1,162,90,72,Y,N,N,N,784,793,San Francisco Giants,1690869,35592378
1998,NL,SFN,SFG,W,2,163,89,74,N,N,N,N,845,739,San Francisco Giants,1925364,42565834
1999,NL,SFN,SFG,W,2,162,86,76,N,N,N,N,872,831,San Francisco Giants,2078399,46595057
2000,NL,SFN,SFG,W,1,162,97,65,Y,N,N,N,925,747,San Francisco Giants,3318800,53737826
2001,NL,SFN,SFG,W,2,162,90,72,N,N,N,N,799,748,San Francisco Giants,3311958,63280167
2002,NL,SFN,SFG,W,2,162,95,66,N,Y,Y,N,783,616,San Francisco Giants,3253203,78299835
2003,NL,SFN,SFG,W,1,161,100,61,Y,N,N,N,755,638,San Francisco Giants,3264898,82852167
2004,NL,SFN,SFG,W,2,162,91,71,N,N,N,N,850,770,San Francisco Giants,3256854,82019166
2005,NL,SFN,SFG,W,3,162,75,87,N,N,N,N,649,745,San Francisco Giants,3181023,90199500
2006,NL,SFN,SFG,W,3,161,76,85,N,N,N,N,746,790,San Francisco Giants,3130313,90056419
2007,NL,SFN,SFG,W,5,162,71,91,N,N,N,N,683,720,San Francisco Giants,3223215,90219056
2008,NL,SFN,SFG,W,4,162,72,90,N,N,N,N,640,759,San Francisco Giants,2863837,76594500
2009,NL,SFN,SFG,W,3,162,88,74,N,N,N,N,657,611,San Francisco Giants,2862110,83026450
2010,NL,SFN,SFG,W,1,162,92,70,Y,N,Y,Y,697,583,San Francisco Giants,3037443,98641333
2011,NL,SFN,SFG,W,2,162,86,76,N,N,N,N,570,578,San Francisco Giants,3387303,118198333
2012,NL,SFN,SFG,W,1,162,94,68,Y,N,Y,Y,718,649,San Francisco Giants,3377371,117620683
2013,NL,SFN,SFG,W,4,162,76,86,N,N,N,N,629,691,San Francisco Giants,3326796,140180334
2014,NL,SFN,SFG,W,2,162,88,74,N,Y,Y,Y,665,614,San Francisco Giants,3368697,163510167
2015,NL,SFN,SFG,W,2,162,84,78,N,N,N,N,696,627,San Francisco Giants,3375882,164701500
2016,NL,SFN,SFG,W,2,162,87,75,N,Y,N,N,715,631,San Francisco Giants,3365256,172253778
2017,NL,SFN,SFG,W,5,162,64,98,N,N,N,N,639,776,San Francisco Giants,3303652,172354611
2018,NL,SFN,SFG,W,4,162,73,89,N,N,N,N,603,699,San Francisco Giants,3156185,208510000
2019,NL,SFN,SFG,W,3,162,77,85,N,N,N,N,678,773,San Francisco Giants,2707760,178271237
2020,NL,SFN,SFG,W,3,60,29,31,N,N,N,N,299,297,San Francisco Giants,0,71170857
1901,NL,SLN,STL,,4,142,76,64,,,N,,792,689,St. Louis Cardinals,379988,
1902,NL,SLN,STL,,6,140,56,78,,,N,,517,695,St. Louis Cardinals,226417,
1903,NL,SLN,STL,,8,139,43,94,,,N,N,505,795,St. Louis Cardinals,226538,
1904,NL,SLN,STL,,5,154,75,79,,,N,,602,595,St. Louis Cardinals,386750,
1905,NL,SLN,STL,,6,154,58,96,,,N,N,535,734,St. Louis Cardinals,292800,
1906,NL,SLN,STL,,7,154,52,98,,,N,N,470,607,St. Louis Cardinals,283770,
1907,NL,SLN,STL,,8,155,52,101,,,N,N,419,610,St. Louis Cardinals,185377,
1908,NL,SLN,STL,,8,154,49,105,,,N,N,372,626,St. Louis Cardinals,205129,
1909,NL,SLN,STL,,7,154,54,98,,,N,N,583,731,St. Louis Cardinals,299982,
1910,NL,SLN,STL,,7,153,63,90,,,N,N,639,718,St. Louis Cardinals,355668,
1911,NL,SLN,STL,,5,158,75,74,,,N,N,671,745,St. Louis Cardinals,447768,
1912,NL,SLN,STL,,6,153,63,90,,,N,N,659,830,St. Louis Cardinals,241759,
1913,NL,SLN,STL,,8,153,51,99,,,N,N,528,755,St. Louis Cardinals,203531,
1914,NL,SLN,STL,,3,157,81,72,,,N,N,558,540,St. Louis Cardinals,256099,
1915,NL,SLN,STL,,6,157,72,81,,,N,N,590,601,St. Louis Cardinals,252666,
1916,NL,SLN,STL,,7,153,60,93,,,N,N,476,629,St. Louis Cardinals,224308,
1917,NL,SLN,STL,,3,154,82,70,,,N,N,531,567,St. Louis Cardinals,288491,
1918,NL,SLN,STL,,8,131,51,78,,,N,N,454,527,St. Louis Cardinals,110599,
1919,NL,SLN,STL,,7,138,54,83,,,N,N,463,552,St. Louis Cardinals,167059,
1920,NL,SLN,STL,,5,155,75,79,,,N,N,675,682,St. Louis Cardinals,326836,
1921,NL,SLN,STL,,3,154,87,66,,,N,N,809,681,St. Louis Cardinals,384773,
1922,NL,SLN,STL,,3,154,85,69,,,N,N,863,819,St. Louis Cardinals,536998,
1923,NL,SLN,STL,,5,154,79,74,,,N,N,746,732,St. Louis Cardinals,338551,
1924,NL,SLN,STL,,6,154,65,89,,,N,N,740,750,St. Louis Cardinals,272885,
1925,NL,SLN,STL,,4,153,77,76,,,N,N,828,764,St. Louis Cardinals,404959,
1926,NL,SLN,STL,,1,156,89,65,,,Y,Y,817,678,St. Louis Cardinals,668428,
1927,NL,SLN,STL,,2,153,92,61,,,N,N,754,665,St. Louis Cardinals,749340,
1928,NL,SLN,STL,,1,154,95,59,,,Y,N,807,636,St. Louis Cardinals,761574,
1929,NL,SLN,STL,,4,154,78,74,,,N,N,831,806,St. Louis Cardinals,399887,
1930,NL,SLN,STL,,1,154,92,62,,,Y,N,1004,784,St. Louis Cardinals,508501,
1931,NL,SLN,STL,,1,154,101,53,,,Y,Y,815,614,St. Louis Cardinals,608535,
1932,NL,SLN,STL,,6,156,72,82,,,N,N,684,717,St. Louis Cardinals,279219,
1933,NL,SLN,STL,,5,154,82,71,,,N,N,687,609,St. Louis Cardinals,256171,
1934,NL,SLN,STL,,1,154,95,58,,,Y,Y,799,656,St. Louis Cardinals,325056,
1935,NL,SLN,STL,,2,154,96,58,,,N,N,829,625,St. Louis Cardinals,506084,
1936,NL,SLN,STL,,2,155,87,67,,,N,N,795,794,St. Louis Cardinals,448078,
1937,NL,SLN,STL,,4,157,81,73,,,N,N,789,733,St. Louis Cardinals,430811,
1938,NL,SLN,STL,,6,156,71,80,,,N,N,725,721,St. Louis Cardinals,291418,
1939,NL,SLN,STL,,2,155,92,61,,,N,N,779,633,St. Louis Cardinals,400245,
1940,NL,SLN,STL,,3,156,84,69,,,N,N,747,699,St. Louis Cardinals,324078,
1941,NL,SLN,STL,,2,155,97,56,,,N,N,734,589,St. Louis Cardinals,633645,
1942,NL,SLN,STL,,1,156,106,48,,,Y,Y,755,482,St. Louis Cardinals,553552,
1943,NL,SLN,STL,,1,157,105,49,,,Y,N,679,475,St. Louis Cardinals,517135,
1944,NL,SLN,STL,,1,157,105,49,,,Y,Y,772,490,St. Louis Cardinals,461968,
1945,NL,SLN,STL,,2,155,95,59,,,N,N,756,583,St. Louis Cardinals,594630,
1946,NL,SLN,STL,,1,156,98,58,,,Y,Y,712,545,St. Louis Cardinals,1061807,
1947,NL,SLN,STL,,2,156,89,65,,,N,N,780,634,St. Louis Cardinals,1247913,
1948,NL,SLN,STL,,2,155,85,69,,,N,N,742,646,St. Louis Cardinals,1111440,
1949,NL,SLN,STL,,2,157,96,58,,,N,N,766,616,St. Louis Cardinals,1430676,
1950,NL,SLN,STL,,5,153,78,75,,,N,N,693,670,St. Louis Cardinals,1093411,
1951,NL,SLN,STL,,3,155,81,73,,,N,N,683,671,St. Louis Cardinals,1013429,
1952,NL,SLN,STL,,3,154,88,66,,,N,N,677,630,St. Louis Cardinals,913113,
1953,NL,SLN,STL,,3,157,83,71,,,N,N,768,713,St. Louis Cardinals,880242,
1954,NL,SLN,STL,,6,154,72,82,,,N,N,799,790,St. Louis Cardinals,1039698,
1955,NL,SLN,STL,,7,154,68,86,,,N,N,654,757,St. Louis Cardinals,849130,
1956,NL,SLN,STL,,4,156,76,78,,,N,N,678,698,St. Louis Cardinals,1029773,
1957,NL,SLN,STL,,2,154,87,67,,,N,N,737,666,St. Louis Cardinals,1183575,
1958,NL,SLN,STL,,5,154,72,82,,,N,N,619,704,St. Louis Cardinals,1063730,
1959,NL,SLN,STL,,7,154,71,83,,,N,N,641,725,St. Louis Cardinals,929953,
1960,NL,SLN,STL,,3,155,86,68,,,N,N,639,616,St. Louis Cardinals,1096632,
1961,NL,SLN,STL,,5,155,80,74,,,N,N,703,668,St. Louis Cardinals,855305,
1962,NL,SLN,STL,,6,163,84,78,,,N,N,774,664,St. Louis Cardinals,953895,
1963,NL,SLN,STL,,2,162,93,69,,,N,N,747,628,St. Louis Cardinals,1170546,
1964,NL,SLN,STL,,1,162,93,69,,,Y,Y,715,652,St. Louis Cardinals,1143294,
1965,NL,SLN,STL,,7,162,80,81,,,N,N,707,674,St. Louis Cardinals,1241201,
1966,NL,SLN,STL,,6,162,83,79,,,N,N,571,577,St. Louis Cardinals,1712980,
1967,NL,SLN,STL,,1,161,101,60,,,Y,Y,695,557,St. Louis Cardinals,2090145,
1968,NL,SLN,STL,,1,162,97,65,,,Y,N,583,472,St. Louis Cardinals,2011167,
1969,NL,SLN,STL,E,4,162,87,75,N,,N,N,595,540,St. Louis Cardinals,1682783,
1970,NL,SLN,STL,E,4,162,76,86,N,,N,N,744,747,St. Louis Cardinals,1629736,
1971,NL,SLN,STL,E,2,163,90,72,N,,N,N,739,699,St. Louis Cardinals,1604671,
1972,NL,SLN,STL,E,4,156,75,81,N,,N,N,568,600,St. Louis Cardinals,1196894,
1973,NL,SLN,STL,E,2,162,81,81,N,,N,N,643,603,St. Louis Cardinals,1574046,
1974,NL,SLN,STL,E,2,161,86,75,N,,N,N,677,643,St. Louis Cardinals,1838413,
1975,NL,SLN,STL,E,3,163,82,80,N,,N,N,662,689,St. Louis Cardinals,1695270,
1976,NL,SLN,STL,E,5,162,72,90,N,,N,N,629,671,St. Louis Cardinals,1207079,
1977,NL,SLN,STL,E,3,162,83,79,N,,N,N,737,688,St. Louis Cardinals,1659287,
1978,NL,SLN,STL,E,5,162,69,93,N,,N,N,600,657,St. Louis Cardinals,1278215,
1979,NL,SLN,STL,E,3,163,86,76,N,,N,N,731,693,St. Louis Cardinals,1627256,
1980,NL,SLN,STL,E,4,162,74,88,N,,N,N,738,710,St. Louis Cardinals,1385147,
1981,NL,SLN,STL,E,1,103,59,43,N,,N,N,464,417,St. Louis Cardinals,1010247,
1982,NL,SLN,STL,E,1,162,92,70,Y,,Y,Y,685,609,St. Louis Cardinals,2111906,
1983,NL,SLN,STL,E,4,162,79,83,N,,N,N,679,710,St. Louis Cardinals,2317914,
1984,NL,SLN,STL,E,3,162,84,78,N,,N,N,652,645,St. Louis Cardinals,2037448,
1985,NL,SLN,STL,E,1,162,101,61,Y,,Y,N,747,572,St. Louis Cardinals,2637563,11817083
1986,NL,SLN,STL,E,3,161,79,82,N,,N,N,601,611,St. Louis Cardinals,2471974,9875010
1987,NL,SLN,STL,E,1,162,95,67,Y,,Y,N,798,693,St. Louis Cardinals,3072122,11758000
1988,NL,SLN,STL,E,5,162,76,86,N,,N,N,578,633,St. Louis Cardinals,2892799,12880000
1989,NL,SLN,STL,E,3,164,86,76,N,,N,N,632,608,St. Louis Cardinals,3080980,16078833
1990,NL,SLN,STL,E,6,162,70,92,N,,N,N,599,698,St. Louis Cardinals,2573225,20523334
1991,NL,SLN,STL,E,2,162,84,78,N,,N,N,651,648,St. Louis Cardinals,2448699,21860001
1992,NL,SLN,STL,E,3,162,83,79,N,,N,N,631,604,St. Louis Cardinals,2418483,27583836
1993,NL,SLN,STL,E,3,162,87,75,N,,N,N,758,744,St. Louis Cardinals,2844977,23367334
1994,NL,SLN,STL,C,3,115,53,61,,,,,535,621,St. Louis Cardinals,1866544,29275601
1995,NL,SLN,STL,C,4,143,62,81,N,N,N,N,563,658,St. Louis Cardinals,1756727,37101000
1996,NL,SLN,STL,C,1,162,88,74,Y,N,N,N,759,706,St. Louis Cardinals,2654718,40269667
1997,NL,SLN,STL,C,4,162,73,89,N,N,N,N,689,708,St. Louis Cardinals,2634014,45456667
1998,NL,SLN,STL,C,3,163,83,79,N,N,N,N,810,782,St. Louis Cardinals,3195691,54672521
1999,NL,SLN,STL,C,4,161,75,86,N,N,N,N,809,838,St. Louis Cardinals,3225334,49778195
2000,NL,SLN,STL,C,1,162,95,67,Y,N,N,N,887,771,St. Louis Cardinals,3336493,61453863
2001,NL,SLN,STL,C,2,162,93,69,N,Y,N,N,814,684,St. Louis Cardinals,3109578,78538333
2002,NL,SLN,STL,C,1,162,97,65,Y,N,N,N,787,648,St. Louis Cardinals,3011756,74660875
2003,NL,SLN,STL,C,3,162,85,77,N,N,N,N,876,796,St. Louis Cardinals,2910386,83786666
2004,NL,SLN,STL,C,1,162,105,57,Y,N,Y,N,855,659,St. Louis Cardinals,3048427,83228333
2005,NL,SLN,STL,C,1,162,100,62,Y,N,N,N,805,634,St. Louis Cardinals,3538988,92106833
2006,NL,SLN,STL,C,1,161,83,78,Y,N,Y,Y,781,762,St. Louis Cardinals,3407104,88891371
2007,NL,SLN,STL,C,3,162,78,84,N,N,N,N,725,829,St. Louis Cardinals,3552180,90286823
2008,NL,SLN,STL,C,4,162,86,76,N,N,N,N,779,725,St. Louis Cardinals,3432917,99624449
2009,NL,SLN,STL,C,1,162,91,71,Y,N,N,N,730,640,St. Louis Cardinals,3343252,88528409
2010,NL,SLN,STL,C,2,162,86,76,N,N,N,N,736,641,St. Louis Cardinals,3301218,93540751
2011,NL,SLN,STL,C,2,162,90,72,N,Y,Y,Y,762,692,St. Louis Cardinals,3093954,105433572
2012,NL,SLN,STL,C,2,162,88,74,N,Y,N,N,765,648,St. Louis Cardinals,3262109,110300862
2013,NL,SLN,STL,C,1,162,97,65,Y,N,Y,N,783,596,St. Louis Cardinals,3369769,92260110
2014,NL,SLN,STL,C,1,162,90,72,Y,N,N,N,619,603,St. Louis Cardinals,3540649,120693000
2015,NL,SLN,STL,C,1,162,100,62,Y,N,N,N,647,525,St. Louis Cardinals,3520889,119241500
2016,NL,SLN,STL,C,2,162,86,76,N,N,N,N,779,712,St. Louis Cardinals,3444490,143053500
2017,NL,SLN,STL,C,3,162,83,79,N,N,N,N,761,705,St. Louis Cardinals,3447937,152452933
2018,NL,SLN,STL,C,3,162,88,74,N,N,N,N,759,691,St. Louis Cardinals,3403587,161010000
2019,NL,SLN,STL,C,1,162,91,71,Y,N,N,N,764,662,St. Louis Cardinals,3480393,158370266
2020,NL,SLN,STL,C,3,58,30,28,N,Y,N,N,240,229,St. Louis Cardinals,0,70452778
1998,AL,TBA,TBD,E,5,162,63,99,N,N,N,N,620,751,Tampa Bay Devil Rays,2506293,27280000
1999,AL,TBA,TBD,E,5,162,69,93,N,N,N,N,772,913,Tampa Bay Devil Rays,1562827,38870000
2000,AL,TBA,TBD,E,5,161,69,92,N,N,N,N,733,842,Tampa Bay Devil Rays,1449673,62765129
2001,AL,TBA,TBD,E,5,162,62,100,N,N,N,N,672,887,Tampa Bay Devil Rays,1298365,56980000
2002,AL,TBA,TBD,E,5,161,55,106,N,N,N,N,673,918,Tampa Bay Devil Rays,1065742,34380000
2003,AL,TBA,TBD,E,5,162,63,99,N,N,N,N,715,852,Tampa Bay Devil Rays,1058695,19630000
2004,AL,TBA,TBD,E,4,161,70,91,N,N,N,N,714,842,Tampa Bay Devil Rays,1274911,29556667
2005,AL,TBA,TBD,E,5,162,67,95,N,N,N,N,750,936,Tampa Bay Devil Rays,1141669,29679067
2006,AL,TBA,TBD,E,5,162,61,101,N,N,N,N,689,856,Tampa Bay Devil Rays,1368950,34917967
2007,AL,TBA,TBD,E,5,162,66,96,N,N,N,N,782,944,Tampa Bay Devil Rays,1387603,24123500
2008,AL,TBA,TBD,E,1,162,97,65,Y,N,Y,N,774,671,Tampa Bay Rays,1811986,43820597
2009,AL,TBA,TBD,E,3,162,84,78,N,N,N,N,803,754,Tampa Bay Rays,1874962,63313034
2010,AL,TBA,TBD,E,1,162,96,66,Y,N,N,N,802,649,Tampa Bay Rays,1843445,71923471
2011,AL,TBA,TBD,E,2,162,91,71,N,Y,N,N,707,614,Tampa Bay Rays,1529188,41053571
2012,AL,TBA,TBD,E,3,162,90,72,N,N,N,N,697,577,Tampa Bay Rays,1559681,64173500
2013,AL,TBA,TBD,E,2,163,92,71,N,Y,N,N,700,646,Tampa Bay Rays,1510300,52955272
2014,AL,TBA,TBD,E,4,162,77,85,N,N,N,N,612,625,Tampa Bay Rays,1446464,72689100
2015,AL,TBA,TBD,E,4,162,80,82,N,N,N,N,644,642,Tampa Bay Rays,1287054,64521233
2016,AL,TBA,TBD,E,5,162,68,94,N,N,N,N,672,713,Tampa Bay Rays,1286163,57097310
2017,AL,TBA,TBD,E,3,162,80,82,N,N,N,N,694,704,Tampa Bay Rays,1253619,69962532
2018,AL,TBA,TBD,E,3,162,90,72,N,N,N,N,716,646,Tampa Bay Rays,1154973,78730000
2019,AL,TBA,TBD,E,2,162,96,66,N,Y,N,N,769,656,Tampa Bay Rays,1178735,53444931
2020,AL,TBA,TBD,E,1,60,40,20,Y,N,Y,N,289,229,Tampa Bay Rays,0,28735222
1961,AL,WS2,TEX,,9,161,61,100,,,N,N,618,776,Washington Senators,597287,
1962,AL,WS2,TEX,,10,162,60,101,,,N,N,599,716,Washington Senators,729775,
1963,AL,WS2,TEX,,10,162,56,106,,,N,N,578,812,Washington Senators,535604,
1964,AL,WS2,TEX,,9,162,62,100,,,N,N,578,733,Washington Senators,600106,
1965,AL,WS2,TEX,,8,162,70,92,,,N,N,591,721,Washington Senators,560083,
1966,AL,WS2,TEX,,8,159,71,88,,,N,N,557,659,Washington Senators,576260,
1967,AL,WS2,TEX,,6,161,76,85,,,N,N,550,637,Washington Senators,770868,
1968,AL,WS2,TEX,,10,161,65,96,,,N,N,524,665,Washington Senators,546661,
1969,AL,WS2,TEX,E,4,162,86,76,N,,N,N,694,644,Washington Senators,918106,
1970,AL,WS2,TEX,E,6,162,70,92,N,,N,N,626,689,Washington Senators,824789,
1971,AL,WS2,TEX,E,5,159,63,96,N,,N,N,537,660,Washington Senators,655156,
1972,AL,TEX,TEX,W,6,154,54,100,N,,N,N,461,628,Texas Rangers,662974,
1973,AL,TEX,TEX,W,6,162,57,105,N,,N,N,619,844,Texas Rangers,686085,
1974,AL,TEX,TEX,W,2,161,84,76,N,,N,N,690,698,Texas Rangers,1193902,
1975,AL,TEX,TEX,W,3,162,79,83,N,,N,N,714,733,Texas Rangers,1127924,
1976,AL,TEX,TEX,W,4,162,76,86,N,,N,N,616,652,Texas Rangers,1164982,
1977,AL,TEX,TEX,W,2,162,94,68,N,,N,N,767,657,Texas Rangers,1250722,
1978,AL,TEX,TEX,W,2,162,87,75,N,,N,N,692,632,Texas Rangers,1447963,
1979,AL,TEX,TEX,W,3,162,83,79,N,,N,N,750,698,Texas Rangers,1519671,
1980,AL,TEX,TEX,W,4,163,76,85,N,,N,N,756,752,Texas Rangers,1198175,
1981,AL,TEX,TEX,W,2,105,57,48,N,,N,N,452,389,Texas Rangers,850076,
1982,AL,TEX,TEX,W,6,162,64,98,N,,N,N,590,749,Texas Rangers,1154432,
1983,AL,TEX,TEX,W,3,163,77,85,N,,N,N,639,609,Texas Rangers,1363469,
1984,AL,TEX,TEX,W,7,161,69,92,N,,N,N,656,714,Texas Rangers,1102471,
1985,AL,TEX,TEX,W,7,161,62,99,N,,N,N,617,785,Texas Rangers,1112497,7676500
1986,AL,TEX,TEX,W,2,162,87,75,N,,N,N,771,743,Texas Rangers,1692002,6743119
1987,AL,TEX,TEX,W,6,162,75,87,N,,N,N,823,849,Texas Rangers,1763053,880000
1988,AL,TEX,TEX,W,6,161,70,91,N,,N,N,637,735,Texas Rangers,1581901,5342131
1989,AL,TEX,TEX,W,4,162,83,79,N,,N,N,695,714,Texas Rangers,2043993,11893781
1990,AL,TEX,TEX,W,3,162,83,79,N,,N,N,676,696,Texas Rangers,2057911,14874372
1991,AL,TEX,TEX,W,3,162,85,77,N,,N,N,829,814,Texas Rangers,2297720,18224500
1992,AL,TEX,TEX,W,4,162,77,85,N,,N,N,682,753,Texas Rangers,2198231,30128167
1993,AL,TEX,TEX,W,2,162,86,76,N,,N,N,835,751,Texas Rangers,2244616,36376959
1994,AL,TEX,TEX,W,1,114,52,62,,,,,613,697,Texas Rangers,2503198,32973597
1995,AL,TEX,TEX,W,3,144,74,70,N,N,N,N,691,720,Texas Rangers,1985910,34581451
1996,AL,TEX,TEX,W,1,163,90,72,Y,N,N,N,928,799,Texas Rangers,2889020,39041528
1997,AL,TEX,TEX,W,3,162,77,85,N,N,N,N,807,823,Texas Rangers,2945228,53448838
1998,AL,TEX,TEX,W,1,162,88,74,Y,N,N,N,940,871,Texas Rangers,2927399,56572095
1999,AL,TEX,TEX,W,1,162,95,67,Y,N,N,N,945,859,Texas Rangers,2771469,76709931
2000,AL,TEX,TEX,W,4,162,71,91,N,N,N,N,848,974,Texas Rangers,2588401,70795921
2001,AL,TEX,TEX,W,4,162,73,89,N,N,N,N,890,968,Texas Rangers,2831021,88633500
2002,AL,TEX,TEX,W,4,162,72,90,N,N,N,N,843,882,Texas Rangers,2352397,105526122
2003,AL,TEX,TEX,W,4,162,71,91,N,N,N,N,826,969,Texas Rangers,2094394,103491667
2004,AL,TEX,TEX,W,3,162,89,73,N,N,N,N,860,794,Texas Rangers,2513685,55050417
2005,AL,TEX,TEX,W,3,162,79,83,N,N,N,N,865,858,Texas Rangers,2525221,55849000
2006,AL,TEX,TEX,W,3,162,80,82,N,N,N,N,835,784,Texas Rangers,2388757,68228662
2007,AL,TEX,TEX,W,4,162,75,87,N,N,N,N,816,844,Texas Rangers,2353862,68318675
2008,AL,TEX,TEX,W,2,162,79,83,N,N,N,N,901,967,Texas Rangers,1945677,67712326
2009,AL,TEX,TEX,W,2,162,87,75,N,N,N,N,784,740,Texas Rangers,2156016,68178798
2010,AL,TEX,TEX,W,1,162,90,72,Y,N,Y,N,787,687,Texas Rangers,2505171,55250544
2011,AL,TEX,TEX,W,1,162,96,66,Y,N,Y,N,855,677,Texas Rangers,2946949,92299264
2012,AL,TEX,TEX,W,2,162,93,69,N,Y,N,N,808,707,Texas Rangers,3460280,120510974
2013,AL,TEX,TEX,W,2,163,91,72,N,N,N,N,730,636,Texas Rangers,3178273,112522600
2014,AL,TEX,TEX,W,5,162,67,95,N,N,N,N,637,773,Texas Rangers,2718733,112255059
2015,AL,TEX,TEX,W,1,162,88,74,Y,N,N,N,751,733,Texas Rangers,2491875,143742789
2016,AL,TEX,TEX,W,1,162,95,67,Y,N,N,N,765,757,Texas Rangers,2710402,176038723
2017,AL,TEX,TEX,W,4,162,78,84,N,N,N,N,799,816,Texas Rangers,2507760,175909063
2018,AL,TEX,TEX,W,5,162,67,95,N,N,N,N,737,848,Texas Rangers,2107107,144000000
2019,AL,TEX,TEX,W,3,162,78,84,N,N,N,N,810,878,Texas Rangers,2132994,121017564
2020,AL,TEX,TEX,W,5,60,22,38,N,N,N,N,224,312,Texas Rangers,0,63687408
1977,AL,TOR,TOR,E,7,161,54,107,N,,N,N,605,822,Toronto Blue Jays,1701052,
1978,AL,TOR,TOR,E,7,161,59,102,N,,N,N,590,775,Toronto Blue Jays,1562585,
1979,AL,TOR,TOR,E,7,162,53,109,N,,N,N,613,862,Toronto Blue Jays,1431651,
1980,AL,TOR,TOR,E,7,162,67,95,N,,N,N,624,762,Toronto Blue Jays,1400327,
1981,AL,TOR,TOR,E,7,106,37,69,N,,N,N,329,466,Toronto Blue Jays,755083,
1982,AL,TOR,TOR,E,6,162,78,84,N,,N,N,651,701,Toronto Blue Jays,1275978,
1983,AL,TOR,TOR,E,4,162,89,73,N,,N,N,795,726,Toronto Blue Jays,1930415,
1984,AL,TOR,TOR,E,2,163,89,73,N,,N,N,750,696,Toronto Blue Jays,2110009,
1985,AL,TOR,TOR,E,1,161,99,62,Y,,N,N,759,588,Toronto Blue Jays,2468925,8812550
1986,AL,TOR,TOR,E,4,163,86,76,N,,N,N,809,733,Toronto Blue Jays,2455477,12611047
1987,AL,TOR,TOR,E,2,162,96,66,N,,N,N,845,655,Toronto Blue Jays,2778429,10479501
1988,AL,TOR,TOR,E,3,162,87,75,N,,N,N,763,680,Toronto Blue Jays,2595175,12241225
1989,AL,TOR,TOR,E,1,162,89,73,Y,,N,N,731,651,Toronto Blue Jays,3375883,16261666
1990,AL,TOR,TOR,E,2,162,86,76,N,,N,N,767,661,Toronto Blue Jays,3885284,17756834
1991,AL,TOR,TOR,E,1,162,91,71,Y,,N,N,684,622,Toronto Blue Jays,4001527,19902417
1992,AL,TOR,TOR,E,1,162,96,66,Y,,Y,Y,780,682,Toronto Blue Jays,4028318,44788666
1993,AL,TOR,TOR,E,1,162,95,67,Y,,Y,Y,847,742,Toronto Blue Jays,4057947,47279166
1994,AL,TOR,TOR,E,3,115,55,60,,,,,566,579,Toronto Blue Jays,2907933,43433668
1995,AL,TOR,TOR,E,5,144,56,88,N,N,N,N,642,777,Toronto Blue Jays,2826483,50590000
1996,AL,TOR,TOR,E,4,162,74,88,N,N,N,N,766,809,Toronto Blue Jays,2559573,29555083
1997,AL,TOR,TOR,E,5,162,76,86,N,N,N,N,654,694,Toronto Blue Jays,2589297,47079833
1998,AL,TOR,TOR,E,3,163,88,74,N,N,N,N,816,768,Toronto Blue Jays,2454303,51376000
1999,AL,TOR,TOR,E,3,162,84,78,N,N,N,N,883,862,Toronto Blue Jays,2163464,45444333
2000,AL,TOR,TOR,E,3,162,83,79,N,N,N,N,861,908,Toronto Blue Jays,1705712,44838332
2001,AL,TOR,TOR,E,3,162,80,82,N,N,N,N,767,753,Toronto Blue Jays,1915438,76895999
2002,AL,TOR,TOR,E,3,162,78,84,N,N,N,N,813,828,Toronto Blue Jays,1637900,76864333
2003,AL,TOR,TOR,E,3,162,86,76,N,N,N,N,894,826,Toronto Blue Jays,1799458,51269000
2004,AL,TOR,TOR,E,5,161,67,94,N,N,N,N,719,823,Toronto Blue Jays,1900041,50017000
2005,AL,TOR,TOR,E,3,162,80,82,N,N,N,N,775,705,Toronto Blue Jays,2014995,45719500
2006,AL,TOR,TOR,E,2,162,87,75,N,N,N,N,809,754,Toronto Blue Jays,2302212,71365000
2007,AL,TOR,TOR,E,3,162,83,79,N,N,N,N,753,699,Toronto Blue Jays,2360644,81942800
2008,AL,TOR,TOR,E,4,162,86,76,N,N,N,N,714,610,Toronto Blue Jays,2399786,97793900
2009,AL,TOR,TOR,E,4,162,75,87,N,N,N,N,798,771,Toronto Blue Jays,1876129,80538300
2010,AL,TOR,TOR,E,4,162,85,77,N,N,N,N,755,728,Toronto Blue Jays,1625555,62234000
